# id|title|hint
c07_waterways|Cap. 07 • Abrir os Esgotos Reais|Desça à avenida inferior da cidade e use uma Chave Simples na tampa próxima ao elevador.
c08_grub17|Cap. 08 • Salvar larva nos Esgotos|A partir do banco inferior, suba e atravesse a parede quebrável à esquerda.
c08_map|Cap. 08 • Comprar o mapa dos Esgotos|Vença a sala de Hwurmps e encontre Cornifer no canto superior esquerdo.
c08_dung|Cap. 08 • Derrotar Defensor do Esterco|Siga os túneis marrons após o banco e derrote Ogrim para receber o Brasão do Defensor.
c08_isma|Cap. 08 • Obter Lágrima de Isma|Use o Coração de Cristal pelo túnel de espinhos, vença a emboscada de guardas e alcance o bosque de Isma.
c09_grub18|Cap. 09 • Salvar larva após Isma|Nade pelo ácido à direita e suba pela parede até a larva.
c09_ore1|Cap. 09 • Pegar Minério Pálido da Bacia|Desça à Bacia Antiga e explore a área dos Mawleks no canto inferior esquerdo.
c09_grub19|Cap. 09 • Salvar larva na Bacia|Use Escuridão Descente no piso solto próximo aos Mawleks menores.
c09_map|Cap. 09 • Comprar o mapa da Bacia|Desça pelas alcovas à direita da fonte e encontre Cornifer.
c09_broken|Cap. 09 • Derrotar Receptáculo Quebrado|Atravesse o abismo de espinhos no lado esquerdo e siga até a arena.
c09_wings|Cap. 09 • Obter Asas do Monarca|Após a luta, siga à esquerda e para baixo até a antiga carcaça para receber o pulo duplo.
c09_lost_kin|Cap. 09 • Derrotar Parente Perdido|Use o Ferrão dos Sonhos no corpo do Receptáculo Quebrado e vença sua versão onírica.
c09_hidden_station|Cap. 09 • Liberar Estação Oculta|Use o pulo duplo no corredor sob o bonde, quebre a parede ao extremo direito e pague a estação.
c10_ritual|Cap. 10 • Acender a Chama do Pesadelo|Do Caminho Verde, suba aos Penhascos Uivantes, encontre o grande cadáver oculto, use o Ferrão dos Sonhos e acenda a tocha.
c10_cliffs_map|Cap. 10 • Comprar mapa dos Penhascos|Retorne à face do penhasco e siga o canto de Cornifer.
c10_joni|Cap. 10 • Pegar Bênção de Joni|Atravesse a sala escura seguindo as flores azuis até o repouso de Joni.
c10_cyclone|Cap. 10 • Aprender Corte Ciclone|Suba ao topo dos penhascos e encontre a cabana de Mato na fenda sob a borda.
c10_gorb|Cap. 10 • Derrotar Gorb|Continue ao topo esquerdo e desafie o espírito no monumento.
c10_stag_nest|Cap. 10 • Visitar o Ninho dos Besouros|Use um Vengemosca para alcançar a borda à esquerda de Gorb e pegue o fragmento de receptáculo dentro do ninho.
c11_grimmchild|Cap. 11 • Receber Grimmchild|Volte a Dirtmouth, entre na tenda principal e fale com Mestre da Trupe Grimm.
c11_failed|Cap. 11 • Derrotar Campeão Fracassado|Na Encruzilhada Infectada, quebre a parede acima da antiga arena do Falso Cavaleiro e entre no sonho do corpo.
c11_xero|Cap. 11 • Derrotar Xero|Nos Campos de Descanso, desafie o espírito vermelho sobre a plataforma onde você caiu inicialmente.
c11_dreamgate|Cap. 11 • Desbloquear Portal dos Sonhos|Entregue essência à Vidente até receber Minério Pálido, Amuleto do Portador e Portal dos Sonhos.
c12_deep_focus|Cap. 12 • Pegar Foco Profundo|Retorne ao Pico por Dirtmouth e use o Coração de Cristal através dos lasers até a geoda escondida.
c12_guardians|Cap. 12 • Derrotar Guardiões de Cristal|Vença o Guardião no banco e depois suba pela parede direita para enfrentar sua versão enfurecida.
c12_ore|Cap. 12 • Pegar Minério Pálido da Coroa|Suba até a Coroa de Hallownest e pegue o minério aos pés da estátua.
c13_sheo|Cap. 13 • Aprender Grande Corte|Na parte baixa do Caminho Verde, atravesse Durandas e espinhos até a casa de Sheo.
c13_thorns|Cap. 13 • Pegar Espinhos da Agonia|Atravesse as Lumélulas e os espinhos no corredor à direita da estação.
c13_grubs|Cap. 13 • Vasculhar o Caminho Verde|Libere as duas larvas dos corredores inferiores e recolha o fragmento de receptáculo escondido.
c13_wraiths|Cap. 13 • Obter Espectros Uivantes|Desça ao Cânion da Névoa, entre no Monte Verdejante e alcance o Xamã morto após a emboscada.
c13_noeyes|Cap. 13 • Derrotar Sem Olhos|Entre no Santuário de Pedra, atravesse a escuridão e desafie o espírito.
c14_souleater|Cap. 14 • Pegar Devorador de Almas|Nos túneis sob os Campos de Descanso, quebre as paredes e o teto ocultos próximos ao sarcófago.
c15_kings_station|Cap. 15 • Liberar Estação do Rei|Desça pelos elevadores orientais da cidade e pague a estação inferior.
c15_edge_map|Cap. 15 • Comprar mapa da Borda do Reino|Saia pela estação quebrada, entre na Borda e desça ao tubo onde Cornifer canta.
c15_hornet2|Cap. 15 • Derrotar Hornet Sentinela|Atravesse a Borda pelo caminho superior e siga Hornet até a arena.
c15_brand|Cap. 15 • Obter Marca do Rei|Após Hornet, atravesse a Carcaça Abandonada e examine o símbolo no extremo esquerdo.
c16_abyss|Cap. 16 • Entrar no Abismo|Viaje à Estação Oculta, desça pela Bacia e abra o portão com a Marca do Rei.
c16_shriek|Cap. 16 • Obter Grito do Abismo|No fundo esquerdo do Abismo, use Espectros Uivantes no centro da sala de rostos.
c16_cloak|Cap. 16 • Obter Manto Sombrio|Acenda o farol no lado direito, atravesse o mar de Vazio e banhe-se na fonte escura.
c17_grimm|Cap. 17 • Derrotar Mestre Grimm|Retorne à tenda em Dirtmouth com Grimmchild equipado e vença Mestre da Trupe Grimm.
c17_nail|Cap. 17 • Melhorar o ferrão para Espiralado|Venda relíquias a Lemm e leve os minérios ao Ferreiro na parte baixa da cidade.
c17_fluke|Cap. 17 • Derrotar Flukemarm|Nos Esgotos, mergulhe pelo piso abaixo do banco e encontre o caminho oculto à esquerda.
c17_dashmaster|Cap. 17 • Pegar Mestre da Esquiva|Entre nos Ermos pela passagem dos Esgotos e pegue o amuleto aos pés da estátua.
c17_bretta|Cap. 17 • Salvar Bretta|Atravesse os corredores estreitos de espinhos à esquerda da estátua.
c17_lords|Cap. 17 • Derrotar Lordes Louva-a-Deus|Abra as alavancas da arena sob a Vila e desafie os três Lordes.
c17_pride|Cap. 17 • Pegar Marca de Orgulho|Após a vitória, entre na sala de tesouros recém-aberta à direita.
c18_mawlek|Cap. 18 • Derrotar Mawlek Incubador|Na Encruzilhada Infectada, quebre a porta sob a saída do Caminho Verde e atravesse os espinhos.
c18_notch|Cap. 18 • Pegar encaixe no Cânion|Desça ao Cânion da Névoa e atravesse a sala de bolhas explosivas.
c18_fragile|Cap. 18 • Comprar amuletos frágeis|Equipe Brasão do Defensor para desconto e compre Coração, Ganância e Força com Come-Pernas.
c18_hu|Cap. 18 • Derrotar Ancião Hu|Siga ao leste dos Ermos Fúngicos e desafie o espírito no memorial.
c18_fog_map|Cap. 18 • Comprar mapa do Cânion|Passe acima do portão sombrio no corredor oeste para alcançar Cornifer.
c18_uumuu|Cap. 18 • Derrotar Uumuu|Entre nos Arquivos da Professora e desça até a arena; aguarde Quirrel abrir a defesa do chefe.
c18_monomon|Cap. 18 • Libertar Monomon|Depois de Uumuu, encontre Quirrel junto ao tanque e use o Ferrão dos Sonhos em Monomon.
c19_gardens_map|Cap. 19 • Comprar mapa dos Jardins|Passe da Estação da Rainha aos Jardins, vença a emboscada de mantis e siga as placas até Cornifer.
c19_love_key|Cap. 19 • Pegar Chave do Amor|Nos Jardins, desça ao salão do grande cadáver e derrote os Mantis Traidores.
c19_marmu|Cap. 19 • Derrotar Marmu|Siga pelo lado direito dos Jardins até o túmulo do guerreiro.
c19_station|Cap. 19 • Liberar Estação dos Jardins|Continue à direita após Marmu, pague a estação e abra o atalho.
c19_traitor|Cap. 19 • Derrotar Lorde Traidor|Atravesse as plataformas de espinhos acima da estação e use o Manto Sombrio na arena.
c19_queen|Cap. 19 • Receber metade da Alma do Rei|Após o Lorde Traidor, entre no santuário da Dama Branca e fale com ela.
c20_herrah|Cap. 20 • Libertar Herrah|Entre na Toca da Besta na Vila Distante, escape da armadilha, suba ao topo e encerre o sonho de Herrah.
c20_weaver|Cap. 20 • Pegar Canção das Tecelãs|No Ninho Profundo, rompa a parede atrás do Devoto Espreitador e atravesse o piso de espinhos.
c20_galien|Cap. 20 • Derrotar Galien|Encontre o guerreiro caído próximo aos cogumelos brancos e desafie o seu espírito.
c20_pass|Cap. 20 • Pegar Passe do Bonde|Suba ao Bonde Fracassado e explore o vagão destruído no extremo esquerdo.
c20_zote|Cap. 20 • Salvar Zote no Ninho|Após o Bonde Fracassado, desça pela saída esquerda e liberte Zote das teias.
c20_nosk|Cap. 20 • Derrotar Nosk|A partir das Termas do Ninho, atravesse a parede rachada e siga a figura familiar até a arena.
c20_sharp|Cap. 20 • Pegar Sombra Afiada|Atravesse o portão sombrio na sala dos Garpedes e alcance o amuleto.
c21_hive|Cap. 21 • Entrar na Colmeia|Use o Passe do Bonde, viaje duas vezes à direita e quebre a parede acima dos insetos no túnel.
c21_knight|Cap. 21 • Derrotar Cavaleiro da Colmeia|Atravesse as grandes câmaras até o extremo direito e rompa as barreiras antes da arena.
c21_hiveblood|Cap. 21 • Pegar Sangue da Colmeia|Após o chefe, passe sob a arena e alcance a câmara da rainha.
c22_markoth|Cap. 22 • Derrotar Markoth|Retorne à Borda do Reino, atravesse o portão sombrio inferior e desafie o guerreiro caído.
c22_dashslash|Cap. 22 • Aprender Corte Veloz|Siga à direita pelos Grandes Saltadores e compre a técnica com Oro por 800 Geo.
c22_quickslash|Cap. 22 • Pegar Corte Rápido|Passe os Grandes Saltadores, suba na estrutura da parede direita e pegue o amuleto.
c23_collector|Cap. 23 • Derrotar o Colecionador|Entre na Torre do Amor com a chave e suba até a arena.
c23_grubs|Cap. 23 • Libertar as larvas da torre|Após o Colecionador, explore o salão superior, pegue o mapa e liberte as três larvas.
c23_final_grub|Cap. 23 • Salvar a última larva|Na Torre do Vigia, abra as alavancas e procure a sala acima da saída direita.
c23_watchers|Cap. 23 • Derrotar Cavaleiros Sentinelas|Quebre a corrente no teto para reduzir a luta e entre na arena superior da torre.
c23_lurien|Cap. 23 • Libertar Lurien|Suba ao topo da torre após os Cavaleiros e encerre o sonho do Vigia.
c24_white_defender|Cap. 24 • Derrotar Defensor Branco|Nos Esgotos, entre no sonho de Ogrim na câmara abaixo do elevador quebrado.
c24_colosseum|Cap. 24 • Completar o Coliseu|Suba à Arena dos Tolos, conclua as três provas e derrote o Domador de Deuses.
c25_zote|Cap. 25 • Derrotar Príncipe Cinzento Zote|Em Dirtmouth, entre no porão da casa de Bretta e use o Ferrão dos Sonhos na estátua.
c25_grubfather|Cap. 25 • Receber recompensas das larvas|Visite o Lar das Larvas na Encruzilhada e recolha todas as recompensas do Pai das Larvas.
c25_sly|Cap. 25 • Receber Glória do Mestre|Com as três artes aprendidas, visite o porão de Sly e depois compre os fragmentos e amuletos restantes.
c25_awoken|Cap. 25 • Despertar o Ferrão dos Sonhos|Reúna 2400 de essência e entregue-a à Vidente até ela desaparecer.
c26_flower|Cap. 26 • Entregar a Flor Delicada|Aceite a flor com a Mourner Cinzenta e atravesse Campos, Encruzilhada, Cânion e Jardins sem sofrer dano até o túmulo.
c27_palace|Cap. 27 • Entrar no Palácio Branco|Na Bacia Antiga, use o Ferrão Desperto no molde real morto e atravesse o sonho até o portão.
c27_kingsoul|Cap. 27 • Completar Alma do Rei|Supere as três alas do Palácio Branco, alcance o trono e golpeie o corpo do Rei Pálido.
c28_lifeblood|Cap. 28 • Pegar Núcleo de Sangue Vital|Equipe vida azul e Alma do Rei, abra a porta selada no Abismo e pegue o amuleto antes de sair.
c28_void|Cap. 28 • Transformar Alma do Rei em Coração Vazio|No fundo do Abismo, quebre o piso, encontre o ovo negro e use o Ferrão dos Sonhos; depois suba pelo nascimento.
c29_pure_nail|Cap. 29 • Forjar Ferrão Puro|Venda as últimas relíquias e entregue 4000 Geo e três Minérios Pálidos ao Ferreiro.
c29_unbreakable|Cap. 29 • Melhorar amuletos frágeis|Antes do fim da Trupe, entregue os amuletos a Divine e pague pelas versões inquebráveis.
c29_grimm_end|Cap. 29 • Encerrar a Trupe Grimm|Escolha entre completar o Ritual contra Rei do Pesadelo Grimm ou destruir a lanterna com Brumm.
c30_godhome|Cap. 30 • Abrir Lar dos Deuses|Nos Esgotos, atravesse o caminho acima de Flukemarm até o Depósito de Lixo e abra o sarcófago com Chave Simples.
c30_pantheons|Cap. 30 • Completar os Panteões|No Lar dos Deuses, conclua os quatro primeiros Panteões para 112%. O Panteão de Hallownest permanece como desafio final opcional.
sr01_fury|Seg. 01 • Pegar Fúria dos Caídos|Antes de Dirtmouth, atravesse os espinhos da Passagem do Rei com ataques para baixo.
sr01_geo|Seg. 01 • Juntar 50 Geo|Quebre os depósitos de Geo no caminho até a estação da Encruzilhada. Evite parar para farmar inimigos comuns.
sr01_stag|Seg. 01 • Abrir a estação da Encruzilhada|Pague 50 Geo, toque o sino e use o banco apenas se precisar recuperar vida.
sr01_false_knight|Seg. 01 • Derrotar o Falso Cavaleiro|Derrote o chefe, pegue o Brasão da Cidade e abra o baú de Geo.
sr01_spell|Seg. 01 • Obter Espírito Vingativo|Siga o Xamã, conclua o Monte Ancestral e receba seu primeiro feitiço.
sr01_soul_catcher|Seg. 01 • Pegar e equipar Apanhador de Almas|Pegue o amuleto após o Baldur Ancião e equipe-o no banco antes de seguir ao Caminho Verde.
sr02_vengefly|Seg. 02 • Derrotar Rei Vengemosca|No caminho pela parte alta do Caminho Verde, derrote o Rei Vengemosca para obter Geo rápido.
sr02_journal|Seg. 02 • Pegar o Diário do Viajante|Quebre a parede antes da arena de Hornet e recolha o diário para vender mais tarde.
sr02_bench|Seg. 02 • Usar o banco do Caminho Verde|Sente no banco da estação, mas não gaste Geo liberando o Último Besouro.
sr02_hornet|Seg. 02 • Derrotar Hornet e obter o dash|Derrote Hornet, pegue o Manto de Asa de Mariposa e faça save & quit assim que a coleta terminar.
sr03_queen_bench|Seg. 03 • Usar o banco da Estação da Rainha|Atravesse o Cânion da Névoa e sente no banco da estação antes de entrar nos Ermos Fúngicos.
sr03_seal|Seg. 03 • Pegar o Selo de Hallownest|Recolha o selo indicado pela rota; ele ajudará a pagar as compras na Cidade das Lágrimas.
sr03_claw|Seg. 03 • Obter Garra de Louva-a-Deus|Atravesse os cogumelos elásticos, acione a alavanca da vila e pegue a habilidade de escalar paredes.
sr03_city|Seg. 03 • Entrar na Cidade das Lágrimas|Siga pelo portão oriental dos Ermos, pegando o diário e os depósitos de Geo no caminho.
sr04_nail|Seg. 04 • Comprar a primeira melhoria do ferrão|Use o banco inferior, pague 250 Geo ao Ferreiro e faça save & quit para voltar rapidamente.
sr04_seal|Seg. 04 • Pegar o selo a caminho do Santuário|Suba pela cidade e recolha o Selo de Hallownest indicado antes de entrar no Santuário das Almas.
sr04_bench|Seg. 04 • Comprar o banco do Santuário|Se faltar Geo, venda uma relíquia a Lemm. Pague o banco e sente antes de enfrentar o Santuário.
sr04_twister|Seg. 04 • Pegar Distorcedor de Magias|Procure a abertura no teto antes da arena principal e recolha o amuleto.
sr04_master|Seg. 04 • Derrotar Mestre das Almas|Derrote o chefe, obtenha Mergulho Desolador e recolha o baú e o selo na saída.
sr04_sell|Seg. 04 • Vender todas as relíquias a Lemm|Volte ao banco, equipe Distorcedor de Magias, venda as relíquias e faça save & quit. Proteja esse Geo.
sr04_key|Seg. 04 • Pegar uma Chave Simples|Recolha a Chave Simples da Cidade; ela será usada para abrir os Esgotos Reais.
sr04_stag|Seg. 04 • Liberar Armazéns da Cidade|Abra a estação, toque o sino e viaje de Último Besouro para a Encruzilhada.
sr05_gruz|Seg. 05 • Derrotar Mãe Mosca|A partir do banco da Encruzilhada, derrote a Mãe Mosca e abra o caminho até Sly e Salubra.
sr05_sly|Seg. 05 • Resgatar Sly|Entre na casa da vila abandonada e fale com Sly até ele voltar para Dirtmouth.
sr05_steady|Seg. 05 • Comprar Corpo Firme|Compre Corpo Firme de Salubra.
sr05_shaman|Seg. 05 • Comprar Pedra do Xamã|Compre Pedra do Xamã e priorize-a junto de Distorcedor de Magias.
sr05_notch|Seg. 05 • Comprar um encaixe de amuleto|Com os cinco amuletos exigidos, compre o primeiro encaixe de Salubra e faça save & quit.
sr05_lantern|Seg. 05 • Comprar Lanterna de Lumélula|Equipe Pedra do Xamã e Distorcedor de Magias, vá a Dirtmouth e compre a lanterna de Sly por 1800 Geo.
sr05_peak|Seg. 05 • Entrar no Pico de Cristal|Faça save & quit, volte à Encruzilhada e use Mergulho Desolador na entrada das minas.
sr06_heart|Seg. 06 • Obter Coração de Cristal|Atravesse o lado direito do Pico. O banco de segurança próximo é opcional.
sr06_dark|Seg. 06 • Obter Escuridão Descente|Siga ao Monte Cristalizado e melhore o mergulho. Abuse da invencibilidade desse feitiço nos chefes.
sr06_dream|Seg. 06 • Obter o Ferrão dos Sonhos|Caia nos Campos de Descanso e conclua a sequência do memorial.
sr06_stag|Seg. 06 • Liberar a estação dos Campos|Abra a estação dos Campos de Descanso e viaje para Armazéns da Cidade.
sr07_waterways|Seg. 07 • Abrir os Esgotos Reais|Use a Chave Simples na tampa da avenida inferior e sente no banco dos Esgotos.
sr07_dung|Seg. 07 • Derrotar Defensor do Esterco|Entre com vida e alma cheias. Use Escuridão Descente quando ele estiver sob o chão.
sr07_isma|Seg. 07 • Obter Lágrima de Isma|Acione a alavanca, atravesse o túnel de espinhos com Coração de Cristal e alcance o bosque de Isma.
sr07_skip|Seg. 07 • Fazer o pogo dos Sentinelas|Tente o pogo no objeto de fundo sob a Torre do Vigia. Se preferir segurança, pegue Asas do Monarca e retorne.
sr07_watchers|Seg. 07 • Derrotar Cavaleiros Sentinelas|Use o banco da torre, derrube o lustre pelo teto secreto e abuse de Escuridão Descente durante a luta.
sr07_lurien|Seg. 07 • Libertar Lurien|Suba ao topo da torre, encerre o sonho do Vigia e pegue o baú de Geo durante a descida.
sr07_kings|Seg. 07 • Liberar Estação do Rei|Abra a estação inferior da cidade e viaje de Último Besouro até Dirtmouth.
sr08_archives|Seg. 08 • Chegar aos Arquivos da Professora|Atravesse o Caminho Verde e o Cânion da Névoa. Use o banco de segurança no topo dos Arquivos.
sr08_uumuu|Seg. 08 • Derrotar Uumuu|Jogue com calma, atraia Uumuu para perto da plataforma central e use o mergulho quando Quirrel abrir sua defesa.
sr08_monomon|Seg. 08 • Libertar Monomon|Encontre Quirrel junto ao tanque e use o Ferrão dos Sonhos na Professora.
sr08_gardens|Seg. 08 • Seguir para os Jardins da Rainha|Use novamente o banco dos Arquivos e siga à esquerda, atravessando o ácido até os Jardins.
sr09_bench|Seg. 09 • Comprar o banco antes do Ninho|Atravesse os Jardins pela entrada de ácido, pague o banco antes do Ninho Profundo e sente.
sr09_herrah|Seg. 09 • Libertar Herrah|Entre na Toca da Besta pela Vila Distante, atravesse a armadilha e encerre o sonho de Herrah.
sr09_stag|Seg. 09 • Liberar a estação da Vila Distante|Pague a estação e viaje diretamente para Dirtmouth.
sr10_egg|Seg. 10 • Entrar no Templo do Ovo Negro|Com os três Sonhadores derrotados, atravesse a Encruzilhada e entre no templo. Use o banco somente se precisar curar.
